Well,Dye Name,Reading 1,Reading 2,Reading 3,Reading 4,Reading 5,Reading 6,Reading 7,Reading 8,Reading 9,Reading 10,Reading 11,Reading 12,Reading 13,Reading 14,Reading 15,Reading 16,Reading 17,Reading 18,Reading 19,Reading 20,Reading 21,Reading 22,Reading 23,Reading 24,Reading 25,Reading 26,Reading 27,Reading 28,Reading 29,Reading 30,Reading 31,Reading 32,Reading 33,Reading 34,Reading 35,Reading 36,Reading 37,Reading 38,Reading 39,Reading 40,Reading 41,Reading 42,Reading 43,Reading 44,Reading 45,Reading 46,Reading 47,Reading 48,Reading 49,Reading 50,Reading 51,Reading 52,Reading 53,Reading 54,Reading 55,Reading 56,Reading 57,Reading 58,Reading 59,Reading 60,Reading 61,Reading 62,Reading 63,Reading 64,Reading 65,Reading 66,Reading 67,Reading 68,Reading 69,Reading 70,Reading 71,Reading 72,Reading 73,Reading 74,Reading 75,Reading 76,Reading 77,Reading 78,Reading 79,Reading 80,Reading 81,Reading 82,Reading 83,Reading 84,Reading 85,Reading 86,Reading 87,Reading 88,Reading 89,Reading 90,Reading 91,Reading 92,Reading 93,Reading 94,Reading 95,Reading 96,Reading 97,Reading 98,Reading 99,Reading 100,Reading 101,Reading 102,Reading 103,Reading 104,Reading 105,Reading 106,Reading 107,Reading 108,Reading 109,Reading 110,Reading 111,Reading 112,Reading 113,Reading 114,Reading 115,Reading 116,Reading 117,Reading 118,Reading 119,Reading 120,Reading 121,Reading 122,Reading 123,Reading 124,Reading 125,Reading 126,Reading 127,Reading 128,Reading 129,Reading 130,Reading 131
15,ROX,50718.367188,51313.871094,51656.718750,51801.609375,51964.367188,52088.664063,52213.367188,52264.246094,52264.546875,52250.972656,52343.453125,52403.007813,52419.457031,52434.531250,52497.355469,52484.078125,52474.640625,52519.722656,52547.921875,52588.187500,52618.753906,52680.734375,52673.285156,52710.964844,52652.429688,52659.933594,52625.558594,52567.683594,52330.593750,51994.089844,51384.007813,50367.035156,48770.246094,46610.628906,44422.312500,42954.742188,42378.191406,42318.671875,42345.890625,42342.964844,47517.992188,47786.585938,47971.414063,48111.957031,48268.515625,48459.867188,48708.667969,48918.175781,49053.371094,49158.894531,49318.035156,49418.472656,49520.726563,49572.292969,49729.207031,49808.144531,49977.953125,50130.437500,50280.453125,50314.738281,50394.378906,50545.136719,50673.468750,50841.605469,50934.183594,50983.902344,51073.003906,51238.609375,51293.742188,51254.230469,51290.539063,51346.171875,51413.761719,51515.968750,51693.625000,51811.292969,51784.828125,51759.769531,51825.937500,51912.945313,51948.449219,52041.906250,52141.761719,52195.843750,52139.929688,52173.796875,52300.710938,52387.058594,52441.617188,52514.050781,52615.500000,52624.250000,52615.273438,52686.109375,52762.171875,52857.566406,52838.382813,52890.621094,52904.984375,53006.515625,53066.734375,53182.621094,53171.777344,53109.015625,53079.191406,53074.910156,53261.542969,53410.660156,53650.906250,53794.828125,54032.378906,54120.375000,54139.437500,53888.085938,53587.546875,53301.628906,53132.218750,52991.824219,52950.242188,52963.441406,52938.824219,52931.292969,52927.093750,52930.968750,52896.195313,52863.261719,52788.839844,52738.621094,52701.269531,52650.851563,52537.011719
15,SYBR,5318.887207,5319.723145,5502.428711,5654.279297,5661.381836,5668.641602,5757.648438,5765.599609,5757.317871,5730.973633,5762.449219,5763.704590,5804.871094,5768.312500,5754.515137,5740.127930,5741.624023,5824.698242,5858.896484,5834.430664,5860.016113,5890.449219,5875.817383,5841.133789,6058.382324,6339.149902,6875.252930,8005.653320,10422.551758,14786.046875,22956.750000,37198.167969,59907.843750,91440.828125,128579.570313,166631.781250,201308.796875,230742.187500,254345.234375,274337.187500,246777.656250,236925.359375,229044.000000,223444.593750,219311.734375,215872.765625,212808.515625,209994.125000,207407.968750,204891.781250,202617.406250,200372.812500,198102.843750,195737.609375,193574.875000,191332.109375,189066.984375,186641.890625,184304.484375,182160.703125,180007.343750,177723.609375,175442.296875,173322.609375,171212.656250,169070.421875,166939.437500,164670.968750,162433.687500,160237.843750,158163.531250,156064.937500,154083.234375,152006.328125,149794.296875,147519.687500,145393.859375,143354.812500,141359.406250,139345.000000,137241.859375,135077.359375,133003.812500,130924.414063,128778.625000,126567.164063,124450.531250,122361.320313,120244.187500,117959.921875,115573.187500,113069.906250,110503.601563,107681.453125,104573.460938,101052.164063,97336.750000,93473.726563,89627.421875,85786.335938,82066.773438,78603.726563,75400.414063,72462.890625,69623.039063,66732.125000,63232.515625,59004.777344,53728.601563,46948.101563,37928.199219,27312.259766,17064.039063,9701.978516,5585.548828,3851.105225,3199.081543,3064.274658,2977.148438,2918.574707,2933.590576,2913.078857,2871.687256,2856.989502,2894.815430,2930.428955,2909.585205,2890.921143,2882.660400,2925.881104,2976.176514
16,ROX,57887.613281,58529.898438,58904.281250,59058.332031,59207.218750,59268.984375,59270.125000,59239.753906,59243.621094,59174.257813,58853.425781,58270.867188,57180.082031,55577.964844,53449.328125,51376.792969,49890.820313,49076.078125,48746.062500,48563.445313,48368.578125,48131.855469,47834.839844,47621.343750,47371.613281,47205.382813,47115.933594,47001.289063,46921.023438,46735.332031,46630.335938,46541.691406,46551.535156,46421.695313,46184.992188,46098.230469,46095.468750,46073.492188,45906.468750,45742.140625,51198.445313,51708.164063,52099.535156,52408.074219,52607.933594,52747.820313,52841.968750,52954.195313,53154.585938,53371.476563,53482.304688,53588.769531,53708.769531,53867.117188,53980.378906,54203.589844,54333.683594,54480.894531,54608.730469,54772.242188,54824.710938,55046.246094,55260.628906,55424.976563,55417.023438,55443.183594,55574.628906,55787.722656,55940.425781,56022.773438,56130.218750,56252.140625,56362.640625,56470.031250,56557.234375,56677.976563,56796.347656,56900.460938,56978.183594,57091.968750,57170.410156,57156.703125,57188.562500,57215.550781,57306.773438,57376.792969,57465.292969,57530.074219,57587.578125,57718.054688,57843.457031,57859.496094,57787.093750,57889.855469,58026.597656,58111.062500,58164.027344,58425.441406,58672.312500,58786.113281,58755.316406,58707.082031,58645.894531,58616.769531,58566.066406,58630.234375,58695.675781,58769.843750,58790.695313,58874.562500,59138.464844,59470.925781,59838.414063,60188.792969,60522.429688,60491.289063,60142.757813,59681.121094,59395.011719,59205.394531,59063.121094,58912.207031,58736.902344,58686.054688,58693.929688,58756.117188,58769.414063,58743.316406,58648.132813,58248.503906,57472.238281
16,SYBR,33920.878906,34382.972656,34775.125000,34852.347656,34564.160156,34390.753906,34467.738281,34853.328125,35583.390625,37196.738281,40475.902344,46801.144531,57930.503906,76114.398438,102096.421875,134100.359375,168859.453125,202928.921875,233904.890625,260333.390625,282606.468750,300901.906250,315859.937500,327895.156250,338006.093750,346416.625000,353411.000000,359360.593750,364276.125000,368436.218750,372076.031250,375247.593750,377796.593750,380359.062500,382947.375000,384977.062500,386207.375000,387158.625000,387925.312500,388547.062500,334893.875000,324088.656250,315196.937500,308472.937500,303434.875000,299506.687500,296219.156250,293224.031250,290350.000000,287486.000000,284825.968750,282198.125000,279554.781250,276810.187500,274164.750000,271365.000000,268646.312500,265925.625000,263249.187500,260608.218750,257946.843750,255298.343750,252721.625000,250161.062500,247299.593750,244446.781250,241671.281250,239033.406250,236371.515625,233704.421875,231043.796875,228290.328125,225689.531250,223105.609375,220539.078125,217887.937500,215277.906250,212585.109375,209941.734375,207345.734375,204809.421875,202185.203125,199513.562500,196819.093750,194232.328125,191601.546875,188956.625000,186213.640625,183519.218750,180540.390625,177619.875000,174604.687500,171650.171875,168290.953125,164685.953125,160506.609375,156068.953125,151341.140625,146523.578125,141608.875000,136758.953125,132165.546875,127964.171875,124247.468750,120882.375000,117644.078125,114397.132813,111175.875000,107715.671875,103664.078125,98204.281250,90534.164063,79418.742188,64854.734375,47907.218750,31456.367188,18328.863281,10145.593750,6020.677734,4271.601074,3554.551270,3310.190430,3245.945801,3224.884766,3169.804443,3125.482910,3100.875977,3144.106445,3181.108398,4507.344727,7534.023438
17,ROX,53284.023438,53991.269531,54442.910156,54659.476563,54847.093750,54875.949219,54907.804688,54940.625000,54985.210938,54921.507813,54685.914063,54247.542969,53329.593750,51899.039063,49973.128906,47901.460938,46246.882813,45265.101563,44961.339844,44724.953125,44551.703125,44321.078125,44183.785156,43994.277344,43807.507813,43600.679688,43482.878906,43337.308594,43236.390625,43104.671875,43042.847656,43006.210938,43051.871094,42942.386719,42784.558594,42604.679688,42551.425781,42501.171875,42462.582031,42329.867188,48292.140625,48638.539063,48956.101563,49272.011719,49515.597656,49744.390625,49980.730469,50232.382813,50476.703125,50629.015625,50752.007813,50847.515625,51124.488281,51291.898438,51484.226563,51561.621094,51768.460938,51860.175781,52037.699219,52136.191406,52343.601563,52601.085938,52795.914063,52819.660156,52773.500000,52829.304688,52950.378906,53087.410156,53129.031250,53282.445313,53404.152344,53519.492188,53530.777344,53664.414063,53745.843750,53842.851563,53811.257813,53818.914063,53801.261719,53849.203125,53913.914063,54098.738281,54280.101563,54349.554688,54381.269531,54352.937500,54374.136719,54416.539063,54528.746094,54630.804688,54726.750000,54757.023438,54752.292969,54846.128906,54987.566406,55128.917969,55231.398438,55354.750000,55490.894531,55522.363281,55560.683594,55593.250000,55573.394531,55458.589844,55353.683594,55403.710938,55533.894531,55639.257813,55699.957031,55761.832031,55975.347656,56251.867188,56679.062500,56967.414063,57120.261719,56892.132813,56621.582031,57028.324219,57686.476563,58077.152344,57936.691406,57998.433594,57951.027344,57964.437500,57971.421875,57951.093750,57803.238281,57711.574219,57614.203125,57190.023438,56351.343750
17,SYBR,30377.804688,30802.255859,31073.466797,31155.664063,31097.007813,31215.429688,31390.072266,31710.998047,32357.591797,33852.574219,36908.316406,42983.453125,53705.507813,71219.171875,96146.351563,127247.148438,161113.484375,194257.875000,224192.859375,249865.812500,271550.687500,289586.375000,304572.125000,317055.968750,327460.531250,336089.125000,343224.812500,349382.156250,354724.781250,359183.125000,362983.062500,366159.718750,369005.812500,371770.562500,374268.125000,376078.156250,377242.062500,378165.187500,378827.437500,379230.437500,327565.187500,316629.187500,307921.062500,301726.875000,297187.500000,293481.031250,290250.312500,287288.437500,284505.125000,281841.125000,279294.843750,276804.937500,274252.718750,271635.875000,268985.406250,266405.625000,263798.625000,261222.015625,258629.421875,256159.156250,253559.406250,250856.875000,248131.312500,245430.484375,242750.250000,240065.843750,237302.171875,234583.359375,231921.531250,229282.437500,226454.843750,223535.921875,220810.718750,218164.546875,215505.734375,212655.406250,210013.203125,207343.187500,204808.453125,202211.500000,199585.921875,196848.625000,194184.484375,191510.968750,188893.921875,186376.781250,183869.750000,181086.359375,178335.031250,175485.953125,172736.062500,169751.437500,166744.281250,163253.640625,159507.031250,155402.281250,151116.046875,146442.640625,141481.281250,136573.296875,131866.890625,127474.812500,123241.031250,119420.656250,116082.468750,112948.890625,109733.929688,106422.453125,102993.531250,98636.460938,92764.375000,84506.656250,73149.507813,58851.480469,42847.546875,27789.050781,16265.025391,9344.849609,5920.794434,4420.820801,3923.697754,3704.690186,3621.320557,3530.857910,3489.293457,3448.565918,3486.597900,3484.073486,3459.957031,4315.276367,6448.221680
18,ROX,49185.601563,47991.695313,47495.050781,47424.453125,47456.546875,47404.355469,47438.207031,47446.820313,47415.406250,47367.589844,47136.457031,46741.312500,45872.406250,44684.363281,43042.089844,41095.167969,39276.355469,37875.050781,37144.027344,36613.636719,36417.191406,36266.507813,36139.101563,35980.367188,35886.707031,35789.593750,35636.960938,35512.621094,35461.765625,35443.394531,35415.953125,35423.605469,35407.054688,35338.968750,35164.492188,35148.484375,35265.773438,35312.117188,35178.152344,35001.949219,41011.871094,41383.691406,41634.671875,41835.835938,42017.480469,42175.464844,42310.269531,42424.957031,42648.898438,42840.667969,43016.726563,43086.261719,43212.589844,43331.632813,43433.539063,43582.871094,43708.859375,43759.765625,43844.109375,43933.937500,44054.046875,44099.230469,44224.273438,44348.214844,44515.062500,44684.003906,44836.406250,44976.390625,44990.964844,44962.332031,45031.046875,45174.023438,45268.960938,45292.179688,45364.343750,45556.191406,45677.000000,45646.019531,45606.875000,45669.218750,45738.351563,45815.156250,45894.343750,45959.570313,45944.390625,45956.253906,46012.261719,46171.582031,46284.714844,46365.031250,46353.148438,46437.804688,46498.863281,46673.375000,46847.984375,47035.093750,47087.355469,47087.234375,47155.730469,47214.968750,47175.082031,47149.218750,47226.605469,47240.253906,47219.773438,47216.421875,47313.593750,47410.617188,47585.703125,47725.851563,47942.921875,48300.929688,48646.929688,48684.476563,48419.035156,48145.535156,47855.515625,47494.281250,47247.257813,47170.789063,47229.621094,47221.578125,47199.417969,47063.812500,46904.343750,46905.644531,46922.402344,46957.156250,46836.613281,46761.738281,46689.605469
18,SYBR,19894.083984,21463.738281,22455.042969,22938.957031,23155.125000,23303.556641,23537.394531,23996.835938,24900.730469,26277.650391,28839.578125,33759.496094,42783.835938,57716.410156,79907.585938,108754.664063,141523.718750,174210.609375,204182.390625,229812.562500,251440.640625,269473.500000,284752.062500,297413.437500,307845.187500,316412.781250,323565.375000,329664.187500,334804.343750,338772.562500,342235.000000,345050.000000,347283.281250,349044.781250,350619.000000,351730.187500,352324.875000,352872.593750,353182.625000,353264.281250,302276.468750,291072.500000,282044.750000,275429.718750,270578.281250,266546.468750,263084.187500,259939.796875,257073.703125,254183.781250,251332.656250,248730.187500,246245.812500,243678.187500,241080.437500,238357.859375,235662.281250,232986.343750,230431.453125,227948.234375,225338.218750,222720.046875,219962.828125,217310.078125,214624.281250,212143.250000,209556.281250,207017.296875,204499.187500,201958.968750,199338.093750,196659.531250,194142.109375,191615.593750,189147.500000,186521.484375,183887.343750,181266.937500,178771.296875,176275.421875,173802.453125,171238.500000,168612.781250,166148.218750,163755.140625,161231.421875,158518.734375,155783.890625,153129.937500,150177.828125,147204.843750,143981.187500,140688.968750,136914.218750,132720.906250,128072.937500,123393.671875,118768.140625,114181.867188,109804.148438,105776.328125,102044.656250,98539.867188,95382.781250,92504.468750,89640.375000,86516.789063,82875.820313,78406.179688,72384.343750,63861.972656,52407.632813,38810.031250,25405.667969,14676.031250,7721.461426,4150.222168,2745.109619,2371.246826,2211.906982,2109.280273,2052.078613,2054.923340,2101.916992,2137.466797,2134.212158,2089.248779,2056.365234,2028.554810,2028.402710,2023.965088
19,ROX,58374.417969,58777.265625,59029.562500,59083.628906,59162.906250,59230.734375,59365.324219,59418.957031,59478.035156,59497.527344,59465.859375,59363.523438,59148.359375,58780.625000,57983.109375,56617.402344,54743.476563,52553.132813,50594.968750,49099.542969,48375.304688,48051.437500,47904.066406,47760.882813,47647.777344,47538.773438,47381.058594,47329.785156,47310.582031,47219.769531,47100.144531,47021.699219,46956.035156,46800.277344,46655.039063,46561.683594,46561.753906,46550.515625,46483.851563,46358.703125,52807.843750,53005.226563,53240.136719,53552.644531,53814.117188,53912.652344,54009.500000,54125.585938,54307.550781,54555.875000,54793.996094,54893.671875,55045.578125,55185.613281,55298.945313,55467.964844,55700.898438,55839.437500,55981.437500,56069.550781,56228.539063,56341.414063,56472.667969,56502.066406,56575.203125,56657.597656,56741.933594,56844.648438,56872.441406,56918.679688,57008.328125,57054.207031,57123.722656,57250.398438,57364.304688,57348.136719,57377.332031,57474.566406,57579.410156,57682.996094,57813.039063,57884.355469,57915.203125,58007.476563,58130.242188,58123.968750,58173.632813,58263.121094,58327.601563,58281.796875,58326.167969,58420.953125,58515.691406,58665.671875,58824.839844,59016.062500,59109.015625,59171.390625,59171.472656,59181.386719,59210.839844,59296.250000,59367.765625,59316.921875,59281.777344,59305.171875,59406.562500,59508.105469,59720.218750,60003.222656,60452.558594,60787.238281,60960.488281,60685.691406,60303.183594,59889.019531,59658.285156,59436.058594,59262.777344,59249.054688,59313.027344,59377.218750,59239.593750,59121.957031,58984.664063,59032.839844,58994.261719,58979.808594,58899.390625,58822.035156,58633.023438
19,SYBR,23573.378906,26820.228516,28510.072266,29043.996094,29435.638672,29831.363281,30046.175781,30328.886719,30717.933594,31205.863281,31969.628906,33356.296875,36024.636719,41055.359375,50029.382813,64927.195313,87304.867188,116594.062500,149881.828125,183258.609375,214584.406250,242117.562500,265724.281250,285482.937500,302255.000000,316090.031250,327324.062500,336804.625000,344817.593750,351502.468750,357446.718750,362620.312500,367045.937500,370979.062500,374644.062500,377571.625000,379639.281250,381265.718750,382621.062500,383948.656250,332866.625000,321155.906250,311675.500000,304712.843750,299559.656250,295493.656250,292016.062500,288735.156250,285603.093750,282704.718750,279909.843750,277087.500000,274128.500000,271311.468750,268543.000000,265722.937500,262853.687500,259934.296875,257025.421875,254401.187500,251809.656250,249075.234375,246150.671875,243373.031250,240633.343750,237885.171875,235217.984375,232471.812500,229710.328125,226806.125000,224039.062500,221249.890625,218509.500000,215812.890625,213152.734375,210362.937500,207599.000000,204896.468750,202324.453125,199654.437500,196957.421875,194112.187500,191356.375000,188540.375000,185797.203125,182996.234375,180233.562500,177358.875000,174438.812500,171204.125000,167853.968750,164138.281250,160240.328125,155794.000000,151116.656250,146073.296875,141026.687500,136006.328125,131250.796875,126875.328125,122783.039063,119023.765625,115560.437500,112520.140625,109440.757813,106183.804688,102289.492188,97648.156250,91489.554688,82910.359375,71006.929688,56131.714844,39996.324219,25671.425781,15361.497070,9542.802734,6747.867676,5556.335938,5060.972656,4905.266602,4887.686523,4752.272949,4696.055664,4627.527344,4602.146484,4510.939941,4544.187988,4551.121582,4492.208496,4429.279297,4481.462402
